,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Guyana,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
7/28/20,86,447,110,16344,2555,64690,15446,7562,49,46451,396,7315,40460,855,119,29,114,3672,62223,24,153,203
7/29/20,91,484,110,16800,2588,66182,15841,7647,49,47605,398,7340,40944,856,119,29,115,3672,63269,24,156,203
7/30/20,91,508,110,17290,2597,67915,16230,7728,49,48826,401,7371,41426,864,120,29,126,3672,64191,25,164,203
7/31/20,91,574,110,17820,2608,69649,16632,7799,53,49789,413,7378,42014,878,121,29,128,3672,65256,25,169,203
8/1/20,91,599,122,18187,2633,71415,17050,7857,53,50979,430,7412,42685,883,121,29,128,3672,66383,25,173,203
8/2/20,91,648,132,18975,2646,72243,17448,7857,53,51306,474,7424,43197,894,122,29,146,3672,67453,25,182,203
8/3/20,92,679,132,19402,2670,73117,17843,7948,53,51542,474,7468,43794,905,124,29,150,3672,68456,25,182,203
8/4/20,92,715,132,19837,2701,74295,18262,7998,53,52365,497,7476,44299,920,132,29,150,3902,69424,25,194,203
8/5/20,92,751,133,20417,2726,75660,18701,8069,53,53509,509,7511,45098,928,171,29,156,3902,70231,25,199,203
8/6/20,92,761,133,21070,2775,76536,19126,8127,53,54339,538,7532,45755,958,263,31,176,3902,71418,25,210,203
8/7/20,92,830,138,22081,2829,77709,19544,8204,53,55270,538,7544,46365,987,396,31,176,3902,72560,25,225,203
8/8/20,92,878,138,22802,2888,78778,19978,8267,53,56189,554,7582,46973,1003,509,31,177,3902,73651,25,275,203
8/9/20,92,898,142,23286,2953,79732,20423,8267,78,56605,568,7599,47454,1023,563,31,189,3902,74492,25,279,203
8/10/20,92,945,142,23872,3046,80499,20872,8324,78,56987,568,7611,47872,1031,630,32,189,3902,75394,25,281,203
8/11/20,92,989,143,24508,3093,81094,21269,8360,84,57966,602,7634,48403,1047,717,32,205,4115,76464,25,300,203
8/12/20,92,1036,144,25057,3128,82224,21644,8423,84,59089,623,7649,48657,1065,798,32,248,4115,77377,25,326,203
8/13/20,92,1089,144,26129,3174,83134,21993,8471,92,60284,631,7743,49042,1071,894,32,263,4115,78446,25,404,203
8/14/20,93,1119,148,26931,3229,84488,22314,8549,109,61428,649,7781,49467,1082,973,32,269,4115,79402,25,426,203
8/15/20,93,1252,150,27737,3292,85545,22619,8588,109,62313,674,7810,49979,1082,1048,33,300,4115,80665,25,497,203
8/16/20,93,1315,151,28465,3316,86309,22912,8588,109,62562,709,7831,50502,1113,1102,34,317,4115,81940,25,552,203
8/17/20,93,1329,152,29084,3364,86737,23193,8622,121,62944,709,7879,50995,1129,1121,36,326,4115,82543,25,588,203
8/18/20,93,1424,153,29643,3408,87123,23462,8657,121,63847,737,7897,51670,1146,1205,36,333,4311,82790,26,629,203
8/19/20,94,1531,155,30409,3482,88127,23717,8711,121,64881,776,7921,52298,1192,1296,36,348,4311,83754,26,686,205
8/20/20,94,1610,156,31075,3565,89010,23964,8743,121,65983,846,7949,52819,1290,1387,36,353,4311,83855,26,767,205
8/21/20,94,1703,157,32134,3582,89867,24200,8777,176,66941,881,7997,53381,1346,1464,37,353,4311,84392,26,864,205
8/22/20,94,1765,158,33084,3617,90561,24420,8797,176,67856,925,8016,53983,1346,1534,39,368,4311,85480,26,930,205
8/23/20,94,1784,161,33820,3682,91161,24622,8797,176,68188,955,8050,54511,1529,1568,39,396,4311,86900,26,1007,205
8/24/20,94,1798,161,34463,3717,91608,24811,8875,176,68533,1029,8082,55479,1612,1628,47,408,4311,87485,26,1099,205
8/25/20,94,1813,164,35305,3744,92217,24986,8904,198,69651,1060,8110,55877,1732,1670,49,408,4494,88381,26,1252,205
8/26/20,94,1923,165,36307,3759,92557,25140,8936,198,70714,1093,8112,56649,1804,1760,53,442,4494,89082,26,1411,205
8/27/20,94,2020,165,37292,3806,92964,25284,8982,198,71856,1140,8122,57669,1870,1848,55,444,4494,89982,26,1429,205
8/28/20,94,2057,166,38485,3866,93390,25415,9022,213,72921,1180,8151,58810,2011,1906,62,444,4494,90624,26,1554,205
8/29/20,94,2135,170,39699,3925,93732,25537,9076,213,73679,1184,8161,59645,2113,1975,62,444,4494,91337,26,1645,205
8/30/20,94,2167,173,39699,3973,94241,25635,9076,213,73912,1234,8174,60174,2357,1997,67,460,4494,92065,26,1683,205
8/31/20,94,2217,174,41287,4032,94715,25729,9115,213,74074,1306,8209,61014,2459,2006,68,476,4494,92982,26,1759,205
9/1/20,94,2276,176,42184,4065,94979,25820,9154,213,74893,1373,8224,61769,2459,2104,71,482,4668,93552,26,1797,205
9/2/20,94,2337,176,43305,4126,95627,25904,9209,239,75644,1382,8224,62526,2683,2211,75,495,4668,94084,26,1920,205
9/3/20,95,2386,177,44458,4214,96629,26000,9251,239,76358,1401,8258,63158,2896,2292,78,504,4668,94914,26,1984,205
9/4/20,95,2386,178,45680,4266,96629,26099,9276,239,77040,1401,8258,63798,2964,2358,78,511,4668,95596,26,2040,205
9/5/20,95,2476,178,46920,4298,98776,26206,9322,239,77481,1459,8326,64352,3024,2428,88,511,4668,96305,26,2230,205
9/6/20,95,2506,178,46920,4309,99333,26308,9322,239,77683,1468,8326,64764,3103,2449,92,511,4668,97043,26,2250,205
9/7/20,95,2546,179,48780,4352,99898,26413,9355,239,77828,1560,8360,64814,3183,2482,102,516,4668,97578,26,2277,205
9/8/20,95,2585,180,49897,4377,100131,26511,9387,239,78721,1613,8360,65218,3323,2589,107,527,4818,98407,26,2391,205
9/9/20,95,2721,180,51224,4459,100937,26602,9418,256,79622,1703,8362,65597,3437,2730,116,530,4818,99042,27,2588,207
9/10/20,95,2721,180,52549,4551,101716,26688,9462,256,80306,1750,8376,65802,3511,2819,131,530,4818,99715,27,2698,208
9/11/20,95,2814,180,53969,4593,102232,26773,9494,256,81009,1763,8429,66049,3511,2898,135,531,4818,100330,27,2825,208
9/12/20,95,2928,180,55454,4653,103092,26851,9521,256,81658,1812,8457,67136,3623,2994,145,533,4818,101041,27,2993,208
9/13/20,95,2928,181,55454,4684,103660,26928,9521,256,81909,1853,8457,67789,3771,3046,157,549,4818,101745,27,3042,208
